number,position,marker present,correct or not
7,4,3,1
3,4,3,0
7,4,3,1
7,4,3,1
7,4,3,1
12,0,3,0
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
5,4,3,0
7,4,3,1
7,4,3,1
7,4,3,1
7,4,2,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,2,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
5,4,3,0
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
15,0,2,0
7,4,3,1
6,4,3,0
7,4,3,1
7,4,3,1
7,4,3,1
5,4,3,0
7,4,3,1
7,4,3,1
5,1,3,0
7,6,2,0
7,4,3,1
7,4,3,1
7,4,3,1
14,0,3,0
5,4,3,0
13,0,3,0
7,4,2,1
7,4,3,1
7,4,3,1
13,0,2,0
7,4,3,1
3,1,3,0
5,4,3,0
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
6,6,2,0
7,4,3,1
6,4,3,0
7,4,3,1
13,0,3,0
7,4,3,1
7,4,3,1
7,4,2,1
5,2,3,0
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,2,1
7,4,3,1
7,4,3,1
6,4,3,0
7,2,2,0
7,4,3,1
7,4,3,1
5,3,2,0
7,4,3,1
5,4,3,0
5,4,3,0
7,4,3,1
15,0,2,0
7,4,2,1
7,4,3,1
5,4,3,0
7,4,3,1
5,4,3,0
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
15,4,2,0
7,4,3,1
7,4,3,1
7,4,3,1
5,4,3,0
7,4,3,1
6,4,3,0
7,4,3,1
7,4,3,1
7,4,3,1
7,4,2,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
15,0,2,0
7,4,3,1
7,4,3,1
7,4,3,1
7,2,2,0
7,4,3,1
7,4,3,1
7,4,3,1
7,4,2,1
7,4,3,1
5,4,3,0
7,4,3,1
7,6,2,0
7,4,3,1
7,4,3,1
6,4,3,0
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
6,1,2,0
6,4,3,0
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
5,4,2,0
7,4,3,1
5,4,3,0
7,4,3,1
7,4,3,1
7,4,3,1
5,4,3,0
6,4,3,0
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,6,1,0
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
13,1,2,0
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,2,1
7,4,3,1
7,4,3,1
7,4,3,1
6,4,3,0
12,4,2,0
7,4,3,1
5,2,3,0
7,4,3,1
7,4,3,1
7,4,3,1
5,4,3,0
6,4,3,0
7,4,3,1
7,4,3,1
6,4,3,0
7,4,3,1
7,4,3,1
5,4,3,0
7,4,3,1
7,4,2,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
7,4,3,1
