x(nm),y(nm),z(nm),cluster label (-1 is noise)
10295.28,18791.24,56.54432,-1
10291.11,18793.07,49.49992,-1
10294.33,18792.71,37.12192,-1
10285.13,18791.65,70.33608,-1
10291.29,18790.69,57.66525,-1
10293.1,18801.82,78.91962,-1
10292.94,18788.4,27.22545,-1
10301.42,18796.54,40.34288,-1
10291.11,18788.75,62.24382,-1
10285.35,18798.07,46.02098,-1
10276.42,18780.31,12.47988,-1
10284.53,18778.11,34.47719,7
10294.95,18773.34,53.40752,-1
10281.83,18778.97,28.3245,-1
10286.58,18778.32,32.52456,7
10296.84,18772.54,79.36807,-1
10290.42,18778.59,63.80999,-1
10290.68,18788.23,64.15265,-1
10281.8,18777.41,-6.487266,-1
10283.89,18773.03,10.49697,1
10278.64,18771.78,2.839046,1
10298.54,18799.12,22.32749,-1
10304.13,18799.97,37.67863,-1
10307.92,18798.53,33.25096,-1
10296.92,18794.67,26.54748,-1
10296.24,18790.12,41.53725,-1
10302.24,18793.41,52.67247,-1
10374.88,18709.6,25.94229,2
10375.82,18708.74,19.92997,2
10375.43,18713.28,20.0637,2
10376.94,18764.19,51.16435,3
10372.36,18759.21,46.47455,3
10368.3,18765.16,65.80225,3
10373.06,18761.25,34.62951,3
10372.86,18763.36,35.50785,3
10325.56,18764.86,39.18044,4
10328.79,18761.66,33.36217,4
10329.89,18765.62,30.17471,4
10327.94,18763.11,36.26657,4
10330.56,18760.45,43.56624,4
10330.63,18759.71,30.04288,4
10334.76,18759.26,45.86655,4
10330.05,18760.31,40.307,4
10287.46,18766.2,0.3078089,1
10389.95,18735.94,52.5699,5
10365.97,18760.51,52.80973,3
10362.29,18758.98,29.46414,3
10364.68,18758.3,24.498,3
10366.71,18760.04,41.28933,3
10331.62,18771.53,62.66093,-1
10328.91,18769.59,37.07238,4
10325.34,18771.22,29.36313,-1
10322.75,18763.31,42.04269,4
10395.34,18742.86,54.45302,5
10393.78,18745.95,53.35186,5
10374.18,18711.33,20.68019,2
10367.57,18727.63,33.85036,-1
10371.68,18764.87,47.51738,3
10365.73,18757.12,30.61726,3
10362.96,18758.27,81.12254,-1
10362.71,18762.21,57.07182,3
10372.01,18710.09,3.47559,2
10368.21,18707.91,5.017135,2
10370.58,18710.46,9.797401,2
10367.74,18713.11,15.59617,2
10370.21,18705.95,9.818702,2
10369.83,18709.26,12.27618,2
10365.69,18713.9,7.794273,2
10367.59,18712.54,26.01117,2
10369.02,18714.18,21.59041,2
10280.43,18775.31,-2.339175,-1
10284.99,18772.81,16.86336,1
10281.98,18770.5,14.90058,1
10368.71,18754.82,57.20367,3
10365.33,18759.45,41.31642,3
10360.46,18756.97,30.82038,3
10316.46,18783.66,19.40329,-1
10308.12,18785.46,32.84708,4
10313.08,18778.05,30.90974,4
10312.1,18780.32,27.36052,4
10312.29,18786.62,38.30211,-1
10315.7,18776.95,56.22076,4
10391.65,18744.67,75.53597,5
10397.92,18750.55,45.64413,5
10394.17,18749.68,40.62584,5
10396.98,18748.97,40.17694,5
10380.95,18749.82,69.20641,-1
10392.1,18749.59,71.51199,5
10390.17,18755.96,66.68914,-1
10364.93,18765.42,39.47779,3
10373.46,18763.2,47.63866,3
10369.54,18760.61,34.10944,3
10391.97,18751.04,37.24614,5
10395.58,18750.9,53.97909,5
10404.83,18762.11,89.70881,-1
10369.93,18706.99,-8.331502,-1
10370.33,18757.1,54.98869,3
10366.57,18761.8,44.12922,3
10367.07,18763.59,45.01459,3
10366.02,18761.84,39.62276,3
10366.28,18761.16,38.94149,3
10367.54,18761.71,38.94826,3
10366.06,18762.24,61.20937,3
10324.92,18764.12,50.51417,4
10287.17,18774.94,9.778869,1
10285.5,18771.66,2.069328,1
10285.51,18769.8,22.26971,1
10335.3,18765.44,82.8646,-1
10326.98,18766.27,60.72163,4
10329.17,18771.53,46.25594,4
10394.8,18773.13,34.84303,8
10384.1,18773.49,7.863959,6
10383.94,18778.89,18.57582,6
10390.15,18783.25,0.8668093,-1
10385.44,18775.42,14.01416,6
10390.15,18782.37,31.77844,6
10383.39,18783.5,24.80883,-1
10381.53,18773.98,8.909039,6
10372.58,18797.62,79.58992,-1
10290.6,18771.79,4.939886,1
10287.52,18768.38,18.95255,1
10290.84,18773.87,35.18542,7
10288.12,18775.66,34.19506,7
10277.5,18774.3,13.08809,1
10292.71,18774.93,1.257021,1
10291.31,18772.49,7.061205,1
10289.58,18774.38,-1.294484,1
10288.42,18772.7,16.70077,1
10290.41,18773.7,9.462339,1
10290.57,18771.04,2.955338,1
10289.18,18774.19,7.352784,1
10289.68,18771.74,11.29608,1
10367.3,18762.29,38.72012,3
10363.04,18764.35,50.72628,3
10384.27,18785.95,40.6587,-1
10385.92,18777.48,4.842393,6
10384.71,18785.24,31.27749,6
10384.49,18786.26,32.21914,6
10380.96,18787.03,11.67375,-1
10383.96,18785.34,18.12244,-1
10387.25,18791.7,23.58646,-1
10385.31,18787.42,-0.07996759,-1
10386.44,18782.86,18.14005,6
10391.28,18790,56.29007,-1
10324.83,18764.6,35.61075,4
10332.31,18759.95,49.80442,4
10327.53,18763.36,58.13162,4
10331.41,18759.17,49.14036,4
10331.21,18759.47,12.62417,-1
10370.81,18708.86,13.97409,2
10377.93,18713.01,6.128137,2
10377.01,18712.4,9.724937,2
10378.15,18710.8,4.787114,2
10378.89,18712.61,2.687253,2
10392.95,18743.98,71.80371,5
10392.05,18747.52,73.92128,5
10393.37,18744.73,56.60649,5
10308.08,18781.16,37.39759,4
10310.73,18783,42.87803,4
10317.02,18775.69,65.56851,4
10378.4,18706.25,-28.62809,-1
10378.33,18716.41,10.66665,2
10364.47,18735.88,7.1894,-1
10410.45,18732.46,24.46412,-1
10394.33,18725.65,40.63059,-1
10328.22,18766.81,44.1285,4
10329.98,18770.47,48.93498,4
10327.02,18766.63,33.15004,4
10332.55,18764.01,46.47686,4
10329.92,18765.79,54.01964,4
10367.46,18758,41.1935,3
10366.92,18752.63,32.93809,3
10369.38,18761.47,42.62417,3
10367.47,18755.51,23.18868,3
10372.02,18760.39,46.73977,3
10373.72,18759.69,34.34841,3
10370.51,18761.98,39.47821,3
10366.91,18758.78,49.69065,3
10364.74,18761.17,54.77839,3
10365.47,18755,56.54086,3
10367.92,18763.81,47.94403,3
10365.61,18755.55,84.51676,-1
10387.8,18771.19,15.01139,6
10386.38,18777.78,20.15474,6
10387.87,18774.47,14.24346,6
10385.81,18773.47,-3.223503,-1
10384.06,18777.93,-4.31531,-1
10308.01,18774.88,40.3329,4
10310.41,18774.91,72.52537,4
10310.29,18779.76,45.30673,4
10313.53,18777.6,46.98001,4
10314.38,18776.93,44.49061,4
10314.76,18778.66,63.40908,4
10309.63,18777.1,45.4525,4
10315.15,18782.81,28.92105,4
10312.34,18777.99,52.4897,4
10317.69,18777.65,64.40681,4
10309.3,18779.58,80.94837,-1
10372.33,18762.51,49.98915,3
10367.36,18761.86,43.39114,3
10366.78,18759.88,37.08743,3
10365.52,18764.71,45.55623,3
10370.53,18761.52,47.12064,3
10371.44,18754.23,32.49309,3
10367.57,18755.37,42.64095,3
10363.65,18755.62,43.04024,3
10326.36,18760.19,33.56159,4
10380.46,18719.68,7.3337,2
10375.64,18711.76,8.917904,2
10367.49,18715.93,26.81787,2
10383.49,18721.2,16.20406,-1
10375.05,18716.94,21.04021,2
10377.26,18720.91,1.353402,-1
10325.76,18783.29,68.18445,-1
10312.03,18787.89,42.82114,4
10310.21,18779.64,26.31711,4
10312.33,18773.83,32.53425,4
10326.85,18779.95,43.80218,4
10376.73,18718.72,30.54951,2
10375.17,18718.76,30.12662,2
10373.14,18716.13,23.0651,2
10369.98,18712.37,2.759208,2
10371.78,18714.35,8.560668,2
10376.13,18712.82,20.08657,2
10376.38,18710.89,5.6666,2
10344.88,18733.33,31.63823,-1
10290.78,18773.15,16.40627,1
10287.15,18766.89,65.62651,-1
10276.13,18772.58,15.81258,1
10282.78,18770.86,23.18804,1
10281.49,18772.07,3.782033,1
10281.89,18771.22,26.3748,1
10285.78,18767.77,10.89661,1
10285.29,18770.13,12.59778,1
10372.76,18711.11,6.218244,2
